time,task,metric,features,preproc,algo,params,train_score,test_score
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 3, ""gb__n_estimators"": 300}",-0.10110892770777014,-0.1646299982434082
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 5, ""gb__n_estimators"": 20}",-0.14614688001142334,-0.1779812599470308
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 5, ""gb__n_estimators"": 50}",-0.10733558105780969,-0.16443619521090586
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 5, ""gb__n_estimators"": 100}",-0.0893279823704512,-0.16708969964630316
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 5, ""gb__n_estimators"": 300}",-0.04640954299697665,-0.1727267658685153
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 10, ""gb__n_estimators"": 20}",-0.07944259956628419,-0.18878556520384288
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 10, ""gb__n_estimators"": 50}",-0.02043797717818972,-0.18122328484879657
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 10, ""gb__n_estimators"": 100}",-0.01095332168536023,-0.18190432933813802
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.1, ""gb__max_depth"": 10, ""gb__n_estimators"": 300}",-0.007515712550232113,-0.1814229949762193
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 3, ""gb__n_estimators"": 20}",-0.12944380910690179,-0.19569068272516327
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 3, ""gb__n_estimators"": 50}",-0.09602604582737306,-0.21353049755999204
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 3, ""gb__n_estimators"": 100}",-0.06586253602162247,nan
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 3, ""gb__n_estimators"": 300}",-0.019793614282870756,-0.25619119045940597
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 5, ""gb__n_estimators"": 20}",-0.07752227164613339,-0.20830318112742696
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 5, ""gb__n_estimators"": 50}",-0.030104763103848797,-0.21919133472232102
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 5, ""gb__n_estimators"": 100}",-0.009283101577506211,-0.2229390540933288
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 5, ""gb__n_estimators"": 300}",-0.007502611187931616,-0.22101020100284838
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 10, ""gb__n_estimators"": 20}",-0.007503977582741442,nan
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 10, ""gb__n_estimators"": 50}",-0.007502602322309296,-0.23144157808154103
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 10, ""gb__n_estimators"": 100}",-0.007502602322300806,-0.2525240316583214
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 1.0, ""gb__max_depth"": 10, ""gb__n_estimators"": 300}",-0.00750260232230097,-0.23934996943440381
